KE	KEtitle
https://identifiers.org/aop.events/1387	7α-hydroxypregnenolone synthesis in the brain, decreased
https://identifiers.org/aop.events/1388	Dopamine release in the brain, decreased
https://identifiers.org/aop.events/1389	Locomotor activity, decreased
https://identifiers.org/aop.events/1390	Sexual behavior, decreased
https://identifiers.org/aop.events/1392	Oxidative Stress 
https://identifiers.org/aop.events/1393	Hepatocytotoxicity
https://identifiers.org/aop.events/1394	Induction, persistent proliferation/sustained proliferation
https://identifiers.org/aop.events/1395	Liver Cancer
https://identifiers.org/aop.events/1396	Increased, glucocorticoid receptor activity
https://identifiers.org/aop.events/1397	Increased, serotonin transporter activity
https://identifiers.org/aop.events/1398	Increased, intracellular serotonin
https://identifiers.org/aop.events/1399	Increased, packaged serotonin
https://identifiers.org/aop.events/140	Decreased, HSD17B10 expression
https://identifiers.org/aop.events/1400	Increased, synaptic release
https://identifiers.org/aop.events/1401	Decreased, 5-HT3
https://identifiers.org/aop.events/1402	Reduced, PTGS1 function
https://identifiers.org/aop.events/1403	Reduced, platelet aggregation
https://identifiers.org/aop.events/1404	Decreased, mucosal blood flow
https://identifiers.org/aop.events/1405	Reduced, mucosal defense
https://identifiers.org/aop.events/1406	Decreased, mucous
https://identifiers.org/aop.events/1407	Decreased, bicarbonate
https://identifiers.org/aop.events/1408	Reduced, PTGS2 function
https://identifiers.org/aop.events/1409	Decreased, angiogenesis
https://identifiers.org/aop.events/1410	Increased, leukocyte adherence
https://identifiers.org/aop.events/1411	Increased, leukocyte activation
https://identifiers.org/aop.events/1412	Helicobacter pylori infection
https://identifiers.org/aop.events/1413	Reduced, presynaptic neuron 2 activity
https://identifiers.org/aop.events/1414	Decreased, GABA
https://identifiers.org/aop.events/1415	Reduced, GABA-A receptor activation
https://identifiers.org/aop.events/1416	Decreased, intracellular chloride
https://identifiers.org/aop.events/1417	NFE2/Nrf2 repression
https://identifiers.org/aop.events/1418	Increased, steatosis
https://identifiers.org/aop.events/1419	Reduced, FXR activity
https://identifiers.org/aop.events/142	Hyperplasia, Hyperplasia
https://identifiers.org/aop.events/1420	Reduced, SHP activity
https://identifiers.org/aop.events/1421	Activated, LXR
https://identifiers.org/aop.events/1422	Reduced, PPARalpha
https://identifiers.org/aop.events/1423	Reduced, HSD17B4 activity
https://identifiers.org/aop.events/1424	Reduced, fatty acid beta oxidation
https://identifiers.org/aop.events/1425	Mu Opioid Receptor Agonism
https://identifiers.org/aop.events/1426	Release of G Proteins
https://identifiers.org/aop.events/1427	Opening of G protein gated inward rectifying K channels
https://identifiers.org/aop.events/1428	Analgesia
https://identifiers.org/aop.events/1429	Inhibition of N-type Ca ion channels
https://identifiers.org/aop.events/1430	Inhibition of neurotransmitter vesicle release
https://identifiers.org/aop.events/1431	Serotonin 1A Receptor Agonism
https://identifiers.org/aop.events/1432	Anti-depressant Activity
https://identifiers.org/aop.events/1433	Increased CGRP, neuronal release of CGRP
https://identifiers.org/aop.events/1434	Irritation of nasal mucosa inducing sneeze reflex
https://identifiers.org/aop.events/1435	Increased neurokinin A (NKA) by neuronal cells
https://identifiers.org/aop.events/1438	Acute phase proteins expression, Increased
https://identifiers.org/aop.events/1439	Systemic acute phase response
https://identifiers.org/aop.events/1443	Atherosclerosis
https://identifiers.org/aop.events/1444	Increase, Follicular atresia
https://identifiers.org/aop.events/1445	Increase, Lipid peroxidation
https://identifiers.org/aop.events/1446	Decrease, Coupling of oxidative phosphorylation
https://identifiers.org/aop.events/1447	obesity
https://identifiers.org/aop.events/1448	activation of CCAAT/enhancer-binding protein alpha
https://identifiers.org/aop.events/1449	increased adipogenesis
https://identifiers.org/aop.events/145	Induction, IKB inhibitory protein
https://identifiers.org/aop.events/1450	decreased dopamine
https://identifiers.org/aop.events/1451	decreased reward
https://identifiers.org/aop.events/1452	decreased DNA methylation of tyrosine hydroxylase
https://identifiers.org/aop.events/1453	decreased methylation of dopamine transporter promoter
https://identifiers.org/aop.events/1454	chronic high fat diet
https://identifiers.org/aop.events/1456	Increase, Differentiation of fibroblasts
https://identifiers.org/aop.events/1457	Induction, Epithelial Mesenchymal Transition
https://identifiers.org/aop.events/1461	DNA double-strand break 
https://identifiers.org/aop.events/1462	Thiol group of chemicals interact with sulfuhydryl groups of proteins to form thiol adducts
https://identifiers.org/aop.events/1463	Inhibition of lysyl oxidase
https://identifiers.org/aop.events/1464	Reduction of collagen crosslinking
https://identifiers.org/aop.events/1465	Weak collagen matrix
https://identifiers.org/aop.events/1466	Notochord distortion or malformations
https://identifiers.org/aop.events/1467	Growth, reduction
https://identifiers.org/aop.events/1468	Activation, Latent Transforming Growth Factor Beta 1
https://identifiers.org/aop.events/1469	Activation, Transforming Growth Factor beta pathway
https://identifiers.org/aop.events/147	Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307
https://identifiers.org/aop.events/1471	Increase, Uncoupling of photophosphorylation
https://identifiers.org/aop.events/1472	Decrease, ATP production
https://identifiers.org/aop.events/1473	Decrease, Chlorophyll synthesis
https://identifiers.org/aop.events/1474	Decrease, Light harvest capacity
https://identifiers.org/aop.events/1475	Decrease, Photosynthesis
https://identifiers.org/aop.events/1476	Decrease, Glycolysis
https://identifiers.org/aop.events/1478	Decrease, Leaf cell mitosis
https://identifiers.org/aop.events/1479	Decrease, Leaf development
https://identifiers.org/aop.events/1481	Inhibition of mitochondrial DNA polymerase gamma (Pol gamma)
https://identifiers.org/aop.events/1482	Depletion, mtDNA 
https://identifiers.org/aop.events/1483	Dysfunction, Mitochondria 
https://identifiers.org/aop.events/1486	Binding of substrate, endocytic receptor
https://identifiers.org/aop.events/1487	Binding, Thiol/seleno-proteins involved in protection against oxidative stress
https://identifiers.org/aop.events/1488	Glutamate dyshomeostasis
https://identifiers.org/aop.events/1489	N/A, Steatohepatisis
https://identifiers.org/aop.events/149	Increase, Inflammation
https://identifiers.org/aop.events/1490	Inhibition, Fatty Acid Beta Oxidation
https://identifiers.org/aop.events/1491	Increased, Oncotic Necrosis
https://identifiers.org/aop.events/1492	Tissue resident cell activation
https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators
https://identifiers.org/aop.events/1495	Substance interaction with the lung resident cell membrane components
https://identifiers.org/aop.events/1496	Increased, secretion of proinflammatory mediators
https://identifiers.org/aop.events/1497	Increased, recruitment of inflammatory cells
https://identifiers.org/aop.events/1505	Cell cycle, disrupted
https://identifiers.org/aop.events/1509	Protein Adduct Formation
https://identifiers.org/aop.events/1511	Lipid Peroxidation
https://identifiers.org/aop.events/1514	Neurodegeneration
https://identifiers.org/aop.events/1515	Spermatocyte depletion
https://identifiers.org/aop.events/152	Suppression, Inflammatory cytokines
https://identifiers.org/aop.events/1521	Decrease, Growth
https://identifiers.org/aop.events/1523	Decrease, Cuticular chitin content
https://identifiers.org/aop.events/1524	Increase, Premature molting
https://identifiers.org/aop.events/1525	Increase, Sulfonylurea receptor binding
https://identifiers.org/aop.events/1526	Increase, Opening of voltage-dependent calcium channel
https://identifiers.org/aop.events/1527	Increase, Cell membrane depolarization
https://identifiers.org/aop.events/1529	Blockade, L-Type Calcium Channels 
https://identifiers.org/aop.events/1530	Decrease, Calcium currents
https://identifiers.org/aop.events/1531	Decrease, Calcium binding to Troponin C
https://identifiers.org/aop.events/1532	Decrease, Cardiac contractility 
https://identifiers.org/aop.events/1533	Decrease, Cardiac ejection fraction 
https://identifiers.org/aop.events/1535	Heart failure 
https://identifiers.org/aop.events/1536	Disruption, Intracellular calcium mobilization
https://identifiers.org/aop.events/1537	Disruption, Sarcomere assembly
https://identifiers.org/aop.events/1538	Decreased protection against oxidative stress
https://identifiers.org/aop.events/1539	Endocytotic lysosomal uptake
https://identifiers.org/aop.events/1545	Decrease in mitochondrial oxidative phosphorylation
https://identifiers.org/aop.events/1546	Increased reactive oxygen species (in the mitochondria)
https://identifiers.org/aop.events/1547	Mitochondrial Injury
https://identifiers.org/aop.events/1548	Necrotic Tissue
https://identifiers.org/aop.events/1556	Increase, lung cancer
https://identifiers.org/aop.events/1558	Collagen production, reduced
https://identifiers.org/aop.events/1559	Facial cartilage structures are reduced in size and morphologically distorted
https://identifiers.org/aop.events/1560	Altered differentiation
https://identifiers.org/aop.events/1561	Neural tube defects
https://identifiers.org/aop.events/1562	Decreased Na/K ATPase activity
https://identifiers.org/aop.events/1563	Decreased proximal tubular vectorial transport
https://identifiers.org/aop.events/1576	Activation, Tissue resident cells (Kuppfer cells)
https://identifiers.org/aop.events/1579	Increase, proinflammatory mediators (TNFalpha)
https://identifiers.org/aop.events/1580	Binding of microtubule stabilizing agents (MSA) to microtubules
https://identifiers.org/aop.events/1581	Disturbance in microtubule dynamic instability
https://identifiers.org/aop.events/1582	Impaired axonial transport
https://identifiers.org/aop.events/1583	Sensory axonal peripheral neuropathy
https://identifiers.org/aop.events/1584	Interaction of α-diketones with arginine residues
https://identifiers.org/aop.events/1585	Proteasomal dysfunction
https://identifiers.org/aop.events/1586	Airway epithelial injury
https://identifiers.org/aop.events/1587	Fibroproliferative airway lesions
https://identifiers.org/aop.events/1588	Bronchiolitis obliterans
https://identifiers.org/aop.events/1592	ROS generation from photoactivated chemicals
https://identifiers.org/aop.events/1594	Oxidation of membrane lipids
https://identifiers.org/aop.events/1595	Oxidation/denatuation of membrane proteins
https://identifiers.org/aop.events/1602	Activation, Muscarinic Acetylcholine Receptors
https://identifiers.org/aop.events/1603	Chronic kidney disease
https://identifiers.org/aop.events/1605	Accumulation of misfolded proteins
https://identifiers.org/aop.events/1606	Activation of hepatic stellate cells
https://identifiers.org/aop.events/1608	Increase, Oxidative DNA damage
https://identifiers.org/aop.events/1609	Inhibition, Cytochrome P450 enzyme (CYP17A1) activity
https://identifiers.org/aop.events/161	Increase, Liver and splenic hemosiderosis
https://identifiers.org/aop.events/1610	Reduction, 17-OH-pregnenolone conversion in DHEA
https://identifiers.org/aop.events/1611	Reduction, 17-OH-progesterone conversion in androstenedione
https://identifiers.org/aop.events/1612	Decrease, testosterone synthesis/level
https://identifiers.org/aop.events/1613	Decrease, dihydrotestosterone (DHT) level
https://identifiers.org/aop.events/1615	Impaired inguinoscrotal testicular descent phase
https://identifiers.org/aop.events/1617	5α-reductase, inhibition
https://identifiers.org/aop.events/1619	Increase, DNA methyltransferase inhibition
https://identifiers.org/aop.events/1623	Occurrence, Focal Seizure
https://identifiers.org/aop.events/1627	Inhibition of tyrosinase 
https://identifiers.org/aop.events/1628	Reduction of L-Dopaquinone
https://identifiers.org/aop.events/1629	Reduction in melanin level
https://identifiers.org/aop.events/1630	Reduction of melanosome level
https://identifiers.org/aop.events/1631	Reduction fo Pigmentation pattern 
https://identifiers.org/aop.events/1632	Increase in reactive oxygen and nitrogen species (RONS)
https://identifiers.org/aop.events/1633	Increase in inflammation
https://identifiers.org/aop.events/1634	Increase, Oxidative damage to DNA
https://identifiers.org/aop.events/1635	Increase, DNA strand breaks
https://identifiers.org/aop.events/1636	Increase, Chromosomal aberrations
https://identifiers.org/aop.events/1637	Retinaldehyde dehydrogenase inhibition
https://identifiers.org/aop.events/164	Induction, Liver “Dysfunctional” Changes by CGA 330050
https://identifiers.org/aop.events/1640	Altered, Photoreceptor patterning
https://identifiers.org/aop.events/1641	Decreased retinoic acid (RA) synthesis
https://identifiers.org/aop.events/1642	Decreased plasma RA level
https://identifiers.org/aop.events/1643	Altered, Visual function
https://identifiers.org/aop.events/1653	Binding of inhibitor to mitochondrial complex III
https://identifiers.org/aop.events/1654	Binding of inhibitor to mitochondrial complex IV
https://identifiers.org/aop.events/1655	Binding of inhibitor to mitochondrial complex V
https://identifiers.org/aop.events/1657	Inhibition of cystathionine beta-synthase
https://identifiers.org/aop.events/166	Decreased, Long-term potentiation (LTP)
https://identifiers.org/aop.events/1661	Increased Homocysteine level 
https://identifiers.org/aop.events/1665	Increased, Plasma HCY level
https://identifiers.org/aop.events/1666	Induced, dysfunction of microcirculation
https://identifiers.org/aop.events/1667	Impaired,anterior-posterior axis development
https://identifiers.org/aop.events/1668	Frustrated phagocytosis
https://identifiers.org/aop.events/1669	Increased, DNA damage and mutation
https://identifiers.org/aop.events/1670	Lung cancer
https://identifiers.org/aop.events/1672	Inhibition of lung surfactant function
https://identifiers.org/aop.events/1673	Alveolar collapse
https://identifiers.org/aop.events/1677	Reduced tidal volume 
https://identifiers.org/aop.events/168	Decreased, Lymphocytes
https://identifiers.org/aop.events/1680	Inhibition, TBX1
https://identifiers.org/aop.events/1681	Disruption, Neural crest cell migration
https://identifiers.org/aop.events/1682	Disruption, Progenitor cells of second heart field
https://identifiers.org/aop.events/1683	Impairment, Fourth pharyngeal arch development
https://identifiers.org/aop.events/1684	Abnormalities, Cardiac outflow tract formation
https://identifiers.org/aop.events/1685	Anomalies, Congenital cardiac conotruncal
https://identifiers.org/aop.events/1686	Deposition of Energy
https://identifiers.org/aop.events/1687	decrease, transcription of genes by AR 
https://identifiers.org/aop.events/169	Disruption, Membrane integrity
https://identifiers.org/aop.events/1690	reduction, testosterone levels 
https://identifiers.org/aop.events/1691	Antagonism,LH receptor
https://identifiers.org/aop.events/1692	Reduction, Progesterone synthesis
https://identifiers.org/aop.events/1693	Reduction, Plasma progesterone concentration 
https://identifiers.org/aop.events/1694	Reduction, progesterone uptake, decresed maturation 
https://identifiers.org/aop.events/1695	Impaired ovulation
https://identifiers.org/aop.events/1696	Decrease of egg production and cummulative fecundity
https://identifiers.org/aop.events/1697	Increase, DNA methyltransferase expression
https://identifiers.org/aop.events/1698	Increase, hypermethylation of the promotor region of gonadotropin releasing hormone receptor
https://identifiers.org/aop.events/1699	Decrease, expression of gonadotropin releasing hormone receptor
https://identifiers.org/aop.events/1703	Dysregulation of heart rate and vascular tone
https://identifiers.org/aop.events/1705	Impaired coordination and movement
https://identifiers.org/aop.events/173	N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number
https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 
https://identifiers.org/aop.events/1740	Induced dysregulation of ACE2 
https://identifiers.org/aop.events/1741	Induced, Angiotensin (Ang) II accumulation
https://identifiers.org/aop.events/1743	Increase plasma Ang II
https://identifiers.org/aop.events/1748	Increase, the risk of acute respiratory failure
https://identifiers.org/aop.events/1750	Increased inflammatory immune responses
https://identifiers.org/aop.events/1752	Increased Angiotensin II 
https://identifiers.org/aop.events/1753	Chronic reactive oxygen species
https://identifiers.org/aop.events/1755	beta-catenin activation
https://identifiers.org/aop.events/1756	Decreased,  plasma 11-ketotestosterone level
https://identifiers.org/aop.events/1757	Reduce, Sperm count
https://identifiers.org/aop.events/1758	Impaired, Spermatogenesis
https://identifiers.org/aop.events/176	Damaging, Mitochondria
https://identifiers.org/aop.events/1761	Inhibition, Fin regeneration
https://identifiers.org/aop.events/1762	Urothelial cell injury/death
https://identifiers.org/aop.events/1763	Urothelial Tumor
https://identifiers.org/aop.events/1765	Increase, Formation of DNA photoproducts
https://identifiers.org/aop.events/1766	Increase, DNA double-strand break
https://identifiers.org/aop.events/1767	Increase, Protein oxidation
https://identifiers.org/aop.events/1768	Increase, Abnormal osmoregulation
https://identifiers.org/aop.events/1769	Increase, Body fluid overload
https://identifiers.org/aop.events/177	N/A, Mitochondrial dysfunction 1
https://identifiers.org/aop.events/1770	Decrease, Mitochondrial membrane potential
https://identifiers.org/aop.events/1771	Decrease, Adenosine triphosphate pool
https://identifiers.org/aop.events/1772	Decrease, Neutral lipids
https://identifiers.org/aop.events/1773	Decrease, Global DNA methylation
https://identifiers.org/aop.events/1774	Increase, Caspase transcription
https://identifiers.org/aop.events/1775	Increase, Oocyte apoptosis
https://identifiers.org/aop.events/1776	Increase, Ovarian somatic cell apoptosis
https://identifiers.org/aop.events/1777	Increase, Ovarian follicle breakdown
https://identifiers.org/aop.events/1778	Decrease, Heritable DNA methylation (F3)
https://identifiers.org/aop.events/1779	Increase, Caspase transcription (F3)
https://identifiers.org/aop.events/178	Disruption, Mitochondrial electron transport chain
https://identifiers.org/aop.events/1780	Increase, Oocyte apoptosis (F3)
https://identifiers.org/aop.events/1781	Decrease, Fecundity (F3)
https://identifiers.org/aop.events/1782	Decrease, Oogenesis (F3)
https://identifiers.org/aop.events/1783	Increase, Ovarian somatic cell apoptosis (F3)
https://identifiers.org/aop.events/1784	Increase, Ovarian follicle breakdown (F3)
https://identifiers.org/aop.events/1785	Increase, Mitochondrial ATP synthase antagonism
https://identifiers.org/aop.events/1786	Nipple retention (NR), increased
https://identifiers.org/aop.events/1787	Downregulation, ACE2
https://identifiers.org/aop.events/1788	Status epilepticus
https://identifiers.org/aop.events/1789	Reduction, 17beta-estradiol synthesis by the undifferentiated gonad 
https://identifiers.org/aop.events/179	Decreased, Mitochondrial fatty acid beta-oxidation
https://identifiers.org/aop.events/1790	Increased, Differentiation to Testis 
https://identifiers.org/aop.events/1791	Increased, Male Biased Sex Ratio
https://identifiers.org/aop.events/1792	Toll-like receptor 4 activation
https://identifiers.org/aop.events/1793	Activator protein 1 activation
https://identifiers.org/aop.events/1794	Pin-1 activation
https://identifiers.org/aop.events/1795	Latent Transforming growth Factor beta expression
https://identifiers.org/aop.events/1796	11β-hydroxylase inhibition
https://identifiers.org/aop.events/1798	Decreased spermatogenesis 
https://identifiers.org/aop.events/1799	Inhibition of 11β-HSD 
https://identifiers.org/aop.events/1800	Granulosa cell proliferation of gonadotropin-independent follicles, Reduced
https://identifiers.org/aop.events/1806	Inhibition, Chitinase 
https://identifiers.org/aop.events/1807	Inhibition, Chitobiase
https://identifiers.org/aop.events/1814	benzoquinone imine and acylglucuronide metabolites
https://identifiers.org/aop.events/1815	Activation of ER stress
https://identifiers.org/aop.events/1816	Mitochondrial dysfunction
https://identifiers.org/aop.events/1817	Apoptotic cell death
https://identifiers.org/aop.events/1818	Immune cell activation
https://identifiers.org/aop.events/1819	IFNγ signaling
https://identifiers.org/aop.events/1820	Immune mediated hepatitis
https://identifiers.org/aop.events/1821	Decrease, Cell proliferation
https://identifiers.org/aop.events/1825	Increase, Cell death
https://identifiers.org/aop.events/1827	Increase, Global DNA methylation
https://identifiers.org/aop.events/1828	Increased, Thyroxine (T4) in serum
https://identifiers.org/aop.events/1829	Altered, Thyroid hormone-dependent gene expression
https://identifiers.org/aop.events/1830	Displacement, Serum thyroxine (T4) from carrier protein
https://identifiers.org/aop.events/1831	Binding, Thyroid binding globulin in serum
https://identifiers.org/aop.events/1834	Decrease, Acyl-CoA dehydrogenases
https://identifiers.org/aop.events/1835	Cortisol and 11β-(OH) testosterone decreased
https://identifiers.org/aop.events/1836	Decreased plasma Cortisol level
https://identifiers.org/aop.events/1837	decreased oocyte maturation
https://identifiers.org/aop.events/1839	Testicular Cancer
https://identifiers.org/aop.events/1840	Inhibition, cytochrome oxidase
https://identifiers.org/aop.events/1842	Prolonged TLR9 activation
https://identifiers.org/aop.events/1843	Multi Organ Failure involving Acute Respiratory Distress Syndrome
https://identifiers.org/aop.events/1844	systemic inflammatory response syndrome
https://identifiers.org/aop.events/1845	Coagulation
https://identifiers.org/aop.events/1846	Thrombosis and Disseminated Intravascular Coagulation
https://identifiers.org/aop.events/1847	Increased SARS-CoV-2 production
https://identifiers.org/aop.events/1849	Impaired gustatory nerve
https://identifiers.org/aop.events/185	Increase, Mutations
https://identifiers.org/aop.events/1850	dysgeusia
https://identifiers.org/aop.events/1851	Binding of agonist, Angiotensin II receptor type 1 receptor (AT1R)
https://identifiers.org/aop.events/1852	Increased Ang II type 1 receptor (AT1R)
https://identifiers.org/aop.events/1853	Hyperactivation of ACE/Ang-II/AT1R axis
https://identifiers.org/aop.events/1854	Dysregulation, ACE2 expression and activity
https://identifiers.org/aop.events/188	Neuroinflammation
https://identifiers.org/aop.events/192	Altered, Neurophysiology
https://identifiers.org/aop.events/193	Decreased, Nitric Oxide
https://identifiers.org/aop.events/195	Inhibition, NMDARs
https://identifiers.org/aop.events/202	Inhibition, Nuclear factor kappa B (NF-kB)
https://identifiers.org/aop.events/209	Peptide Oxidation
https://identifiers.org/aop.events/21	Altered regulation, Alpha hemoglobin
https://identifiers.org/aop.events/211	Propagation, Oxidative stress
https://identifiers.org/aop.events/213	N/A, Parent compound is converted to the reactive metabolite and forms free radicals leading to oxidation of heme iron(II) in hemoglobin to iron(III)
https://identifiers.org/aop.events/214	Bile accumulation, Pathological condition
https://identifiers.org/aop.events/216	Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)
https://identifiers.org/aop.events/219	Reduction, Plasma 17beta-estradiol concentrations
https://identifiers.org/aop.events/220	Increase, Plasma vitellogenin concentrations
https://identifiers.org/aop.events/221	Reduction, Plasma vitellogenin concentrations
https://identifiers.org/aop.events/227	Activation, PPARα
https://identifiers.org/aop.events/228	peroxisome proliferator activated receptor promoter demethylation
https://identifiers.org/aop.events/231	Decreased, PPAR-alpha activation
https://identifiers.org/aop.events/232	Decreased, PPAR-beta activation
https://identifiers.org/aop.events/233	Decreased, PPAR-gamma activation
https://identifiers.org/aop.events/239	Activation, Pregnane-X receptor, NR1l2
https://identifiers.org/aop.events/240	Feminisation or incomplete development, Primary and accessory male sex organs
https://identifiers.org/aop.events/243	Reduction, Prostaglandin E2 concentration
https://identifiers.org/aop.events/244	Alkylation, Protein
https://identifiers.org/aop.events/245	Activation, PXR/SXR
https://identifiers.org/aop.events/246	Increase, RBC congestion in liver
https://identifiers.org/aop.events/249	Production, Reactive oxygen species
https://identifiers.org/aop.events/25	Agonism, Androgen receptor
https://identifiers.org/aop.events/250	Damaging, Red blood cells; hemolysis
https://identifiers.org/aop.events/252	Increase, Renal pathology due to VTG deposition
https://identifiers.org/aop.events/253	N/A, Reproductive failure
https://identifiers.org/aop.events/257	Increase, Reactive Oxygen Species production
https://identifiers.org/aop.events/265	Activation, Stellate cells
https://identifiers.org/aop.events/266	Decrease, Steroidogenic acute regulatory protein (STAR)
https://identifiers.org/aop.events/269	Induction, Sustained Cell Proliferation
https://identifiers.org/aop.events/27	N/A, Androgen receptor, Antagonism
https://identifiers.org/aop.events/270	Induction, Sustained Hepatotoxicity
https://identifiers.org/aop.events/274	Reduction, Testosterone synthesis by ovarian theca cells
https://identifiers.org/aop.events/285	Reduction, Vitellogenin synthesis in liver
https://identifiers.org/aop.events/288	Activation of specific nuclear receptors, Transcriptional change
https://identifiers.org/aop.events/289	Decrease, Translocator protein (TSPO)
https://identifiers.org/aop.events/291	Accumulation, Triglyceride
https://identifiers.org/aop.events/294	N/A, Unknown
https://identifiers.org/aop.events/295	Induction, Upregulation of glucuronyltransferase activity
https://identifiers.org/aop.events/3	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
https://identifiers.org/aop.events/307	Increase, Vitellogenin synthesis in liver
https://identifiers.org/aop.events/309	Reduction, Vitellogenin accumulation into oocytes and oocyte growth/development
https://identifiers.org/aop.events/310	Alteration, Wnt pathway
https://identifiers.org/aop.events/313	Increase, Allergic Respiratory Hypersensitivity Response
https://identifiers.org/aop.events/317	Altered, Cardiovascular development/function
https://identifiers.org/aop.events/319	Loss, Cochlear function
https://identifiers.org/aop.events/321	N/A, Cyanosis occurs
https://identifiers.org/aop.events/323	Increased, Disease susceptibility
https://identifiers.org/aop.events/327	Accumulation, Fatty acid
https://identifiers.org/aop.events/328	Decrease, Fecundity
https://identifiers.org/aop.events/330	Decrease, Fertility
https://identifiers.org/aop.events/334	Promotion, Hepatocelluar carcinoma
https://identifiers.org/aop.events/336	Increase, Heritable mutations in offspring
https://identifiers.org/aop.events/337	N/A, Impairment of reproductive capacity
https://identifiers.org/aop.events/339	Altered, Larval development
https://identifiers.org/aop.events/341	Impairment, Learning and memory
https://identifiers.org/aop.events/344	N/A, Liver fibrosis
https://identifiers.org/aop.events/345	N/A, Liver Steatosis
https://identifiers.org/aop.events/347	Formation, Liver tumor
https://identifiers.org/aop.events/348	Malformation, Male reproductive tract
https://identifiers.org/aop.events/351	Increased Mortality
https://identifiers.org/aop.events/356	Increased, Oxidative damage
https://identifiers.org/aop.events/357	Cholestasis, Pathology
https://identifiers.org/aop.events/360	Decrease, Population growth rate
https://identifiers.org/aop.events/361	Decline, Population
https://identifiers.org/aop.events/363	Altered, Reproductive behaviour
https://identifiers.org/aop.events/364	Impaired development of, Reproductive organs
https://identifiers.org/aop.events/373	Formation, Pro-mutagenic DNA Adducts
https://identifiers.org/aop.events/376	Increased, Induced Mutations in Critical Genes
https://identifiers.org/aop.events/378	Tumorigenesis, Hepatocellular carcinoma
https://identifiers.org/aop.events/382	Aberrant, Dendritic morphology
https://identifiers.org/aop.events/383	Reduced, Presynaptic release of glutamate
https://identifiers.org/aop.events/386	Decrease of neuronal network function
https://identifiers.org/aop.events/388	Overactivation, NMDARs
https://identifiers.org/aop.events/39	Increased Cholinergic Signaling
https://identifiers.org/aop.events/396	Covalent Binding, Protein
https://identifiers.org/aop.events/398	Activation, Dendritic Cells
https://identifiers.org/aop.events/40	Decrease, Mitochondrial ATP production
https://identifiers.org/aop.events/402	Cognitive Function, Decreased 
https://identifiers.org/aop.events/403	Suppression, Immune system
https://identifiers.org/aop.events/405	irregularities, ovarian cycle
https://identifiers.org/aop.events/406	impaired, Fertility
https://identifiers.org/aop.events/409	Metabolism of AFB1, Production of Reactive Electrophiles
https://identifiers.org/aop.events/413	Reduction, Testosterone synthesis in Leydig cells
https://identifiers.org/aop.events/414	Increase, Luteinizing hormone (LH) 
https://identifiers.org/aop.events/415	Hyperplasia, Leydig cell
https://identifiers.org/aop.events/416	Increase proliferation, Leydig cell 
https://identifiers.org/aop.events/417	skewed, sex ratio
https://identifiers.org/aop.events/418	Increased, Vitellogenin synthesis
https://identifiers.org/aop.events/419	Increased, renal vitellogenin deposition
https://identifiers.org/aop.events/421	Increased, glomerular rupture and renal hemorrhaging
https://identifiers.org/aop.events/422	Increased, nephropathy
https://identifiers.org/aop.events/442	Decreased, Population trajectory
https://identifiers.org/aop.events/444	Increased, Atrioventricular block and bradycardia
https://identifiers.org/aop.events/445	Respiratory distress/arrest
https://identifiers.org/aop.events/446	Reduction, testosterone level
https://identifiers.org/aop.events/447	Reduction, Cholesterol transport in mitochondria
https://identifiers.org/aop.events/450	Suppression, VLDL secretion
https://identifiers.org/aop.events/451	Inhibition, Mitochondrial fatty acid beta-oxidation
https://identifiers.org/aop.events/454	Increased, Triglyceride formation
https://identifiers.org/aop.events/455	Accumulation, Liver lipid
https://identifiers.org/aop.events/456	Suppression, Constitutive androstane receptor, NR1l3
https://identifiers.org/aop.events/457	Activation, SREBF1
https://identifiers.org/aop.events/458	Increased, De Novo FA synthesis
https://identifiers.org/aop.events/459	Increased, Liver Steatosis
https://identifiers.org/aop.events/46	Accumulation, Biological membranes
https://identifiers.org/aop.events/461	Suppression, HNF4alpha
https://identifiers.org/aop.events/462	Up Regulation, SCD-1
https://identifiers.org/aop.events/463	Up Regulation, FAS
https://identifiers.org/aop.events/465	Increased, FA Influx
https://identifiers.org/aop.events/466	Up Regulation, LDLR (low density lipoprotein receptor)
https://identifiers.org/aop.events/467	Increased, LDL uptake
https://identifiers.org/aop.events/468	Inhibition, PPAR alpha
https://identifiers.org/aop.events/470	Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)
https://identifiers.org/aop.events/471	Inhibition, FoxA2
https://identifiers.org/aop.events/472	Down Regulation, CPT1A
https://identifiers.org/aop.events/474	Down Regulation, HMGCS2
https://identifiers.org/aop.events/477	Decreased, Ketogenesis
https://identifiers.org/aop.events/478	Activation, NRF2
https://identifiers.org/aop.events/479	Activation, NR1H4
https://identifiers.org/aop.events/480	Activation, SHP
https://identifiers.org/aop.events/482	Decreased, DHB4/HSD17B4
https://identifiers.org/aop.events/483	Activation, LXR alpha
https://identifiers.org/aop.events/484	Activation, AKT2
https://identifiers.org/aop.events/486	systemic inflammation leading to hepatic steatosis
