PathwayID	PathwayTitle	Identifier	name	Ensembl	WPNodeIDType	CNVassociated	WPNodeID
WP4657	22q11.2 copy number variation syndrome	ENSG00000168505	GBX2	ENSG00000168505	ensembl	1	ENSG00000168505
WP4657	22q11.2 copy number variation syndrome	ENSG00000185608	MRPL40	ENSG00000185608	ensembl	1	ENSG00000185608
WP4657	22q11.2 copy number variation syndrome	ENSG00000099949	LZTR1	ENSG00000099949	ensembl	1	ENSG00000099949
WP3584	MECP2 and associated Rett syndrome	ENSG00000185591	SP1	ENSG00000185591	ensembl	NA	ENSG00000185591
WP5398	NRXN1 deletion syndrome	ENSG00000179915	NRXN1	ENSG00000179915	ensembl	1	ENSG00000179915
WP3584	MECP2 and associated Rett syndrome	ENSG00000196712	NF1	ENSG00000196712	ensembl	NA	ENSG00000196712
WP5407	15q11q13 copy number variation	ENSG00000154639	CAR CXADR, CXADR	ENSG00000154639	ensembl	1	ENSG00000154639
WP4222	Phosphodiesterases in neuronal function	ENSG00000156973	PDE6D	ENSG00000156973	ensembl	NA	ENSG00000156973
WP4657	22q11.2 copy number variation syndrome	MI0022661	hsa-mir-6816	ENSG00000278278	mirbase	1	MI0022661
WP4222	Phosphodiesterases in neuronal function	ENSG00000072062	PKA, PRKACA	ENSG00000072062	ensembl	NA	ENSG00000072062
WP5408	15q25 copy number variation	ENSG00000197959	DNM3	ENSG00000197959	ensembl	1	ENSG00000197959
WP5346	8p23.1 copy number variation syndrome	CHEBI:17154	nicotinamide		chebi	1	CHEBI:17154
WP5406	13q12.12 copy number variation	ENSG00000107643	JNK, JNK1, MAPK8	ENSG00000107643	ensembl	1	ENSG00000107643
WP5346	8p23.1 copy number variation syndrome	ENSG00000171044	XKR6	ENSG00000171044	ensembl	1	ENSG00000171044
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000197442	MAP3K5, p38MAPK	ENSG00000197442	ensembl	1	ENSG00000197442
WP5407	15q11q13 copy number variation	ENSG00000034053	APBA2	ENSG00000034053	ensembl	1	ENSG00000034053
WP5402	10q22q23 copy number variation	ENSG00000148602	LRIT1	ENSG00000148602	ensembl	1	ENSG00000148602
WP4932	7q11.23 copy number variation syndrome	ENSG00000076555	ACACB	ENSG00000076555	ensembl	1	ENSG00000076555
WP5408	15q25 copy number variation	ENSG00000198900	TOP1	ENSG00000198900	ensembl	1	ENSG00000198900
WP408	Oxidative stress response	4501	MT1X	ENSG00000187193	ncbigene	NA	4501
WP4657, WP5402	10q22q23 copy number variation, 22q11.2 copy number variation syndrome	ENSG00000148672	GLUD1	ENSG00000148672	ensembl	1	ENSG00000148672
WP4932	7q11.23 copy number variation syndrome	ENSG00000086730	LAT2	ENSG00000086730	ensembl	1	ENSG00000086730
WP5407	15q11q13 copy number variation	ENSG00000125967	NECAB3	ENSG00000125967	ensembl	1	ENSG00000125967
WP4905	1q21.1 copy number variation syndrome	WP4239	Colon cancer		wikipathways	1	WP4239
WP4657	22q11.2 copy number variation syndrome	ENSG00000171791	BCL-2, BCL2, BCL2 Anti-apoptotic, BCLXL, Bcl-2	ENSG00000171791	ensembl	1	ENSG00000171791
WP4906, WP5346	3q29 copy number variation syndrome, 8p23.1 copy number variation syndrome	CHEBI:29950	L-cysteine residue of a protein, L-methionyl-(S)-S-oxide-[protein]		chebi	1	CHEBI:29950
WP5408	15q25 copy number variation	ENSG00000064726	BTBD1	ENSG00000064726	ensembl	1	ENSG00000064726
WP5346	8p23.1 copy number variation syndrome	ENSG00000171060	C8orf74	ENSG00000171060	ensembl	1	ENSG00000171060
WP5408	15q25 copy number variation	ENSG00000197386	HTT	ENSG00000197386	ensembl	1	ENSG00000197386
WP3584	MECP2 and associated Rett syndrome	ENSG00000171862	PTEN	ENSG00000171862	ensembl	NA	ENSG00000171862
WP4657	22q11.2 copy number variation syndrome	WP4083	Reelin signaling pathway		wikipathways	1	WP4083
WP4875	Disruption of postsynaptic signaling by CNV	ENSG00000170579	DLGAP1	ENSG00000170579	ensembl	NA	ENSG00000170579
WP5346	8p23.1 copy number variation syndrome	CHEBI:33697	RNA, viral RNA		chebi	1	CHEBI:33697
WP4906	3q29 copy number variation syndrome	ENSG00000232065	LINC01063	ENSG00000232065	ensembl	1	ENSG00000232065
WP3584	MECP2 and associated Rett syndrome	MIMAT0004594	hsa-miR-132-5p, miR-132		mirbase.mature	NA	MIMAT0004594
WP5346	8p23.1 copy number variation syndrome	ENSG00000253958	CLDN23	ENSG00000253958	ensembl	1	ENSG00000253958
WP5402	10q22q23 copy number variation	ENSG00000173269	MMRN2	ENSG00000173269	ensembl	1	ENSG00000173269
WP5346	8p23.1 copy number variation syndrome	ENSG00000258724	PINX1	ENSG00000258724	ensembl	1	ENSG00000258724
WP4932	7q11.23 copy number variation syndrome	WP2666	Elastic fibre formation, Stress fibre assembly		wikipathways	1	WP2666
WP4906	3q29 copy number variation syndrome	ENSG00000206892	RNU6-42P	ENSG00000206892	ensembl	1	ENSG00000206892
WP4932	7q11.23 copy number variation syndrome	ENSG00000156587	UBE2L6	ENSG00000156587	ensembl	1	ENSG00000156587
WP4657	22q11.2 copy number variation syndrome	ENSG00000149929	HIRIP3	ENSG00000149929	ensembl	1	ENSG00000149929
WP5402	10q22q23 copy number variation	ENSG00000077522	ACTN2	ENSG00000077522	ensembl	1	ENSG00000077522
WP4906	3q29 copy number variation syndrome	ENSG00000174013	FBXO45	ENSG00000174013	ensembl	1	ENSG00000174013
WP5402	10q22q23 copy number variation	HMDB0002152	11-cis-Retinal, 11-cis-Retinaldehyde		hmdb	1	HMDB0002152
WP4940	15q11.2 copy number variation syndrome	WP4549	Fragile X Syndrome		wikipathways	1	WP4549
WP4906	3q29 copy number variation syndrome	ENSG00000119231	SENP5	ENSG00000119231	ensembl	1	ENSG00000119231
WP4657	22q11.2 copy number variation syndrome	WP2735	RAF/MAP  kinase cascade, RAS/MAPK signal transduction		wikipathways	1	WP2735
WP4905	1q21.1 copy number variation syndrome	ENSG00000132356	AMPK, AMPK1, AMPKa1, PRKAA1	ENSG00000132356	ensembl	1	ENSG00000132356
WP4906	3q29 copy number variation syndrome	ENSG00000126561	STAT5, STAT5A	ENSG00000126561	ensembl	1	ENSG00000126561
WP4657	22q11.2 copy number variation syndrome	ENSG00000223553	SMPD4P1	ENSG00000223553	ensembl	1	ENSG00000223553
WP5402	10q22q23 copy number variation	ENSG00000083642	PDS5B	ENSG00000083642	ensembl	1	ENSG00000083642
WP4222, WP5408	15q25 copy number variation, Phosphodiesterases in neuronal function	ENSG00000073417	PDE8A	ENSG00000073417	ensembl	1	ENSG00000073417
WP4932	7q11.23 copy number variation syndrome	ENSG00000171953	ATPAF2	ENSG00000171953	ensembl	1	ENSG00000171953
WP4932	7q11.23 copy number variation syndrome	ENSG00000158773	USF1	ENSG00000158773	ensembl	1	ENSG00000158773
WP5402	10q22q23 copy number variation	ENSG00000104941	RSPH6A	ENSG00000104941	ensembl	1	ENSG00000104941
WP4657	22q11.2 copy number variation syndrome	CHEBI:6067	Retinoic acid		chebi	1	CHEBI:6067
WP5406	13q12.12 copy number variation	ENSG00000227893	LINC00352	ENSG00000227893	ensembl	1	ENSG00000227893
WP5407	15q11q13 copy number variation	ENSG00000165887	ANKRD2	ENSG00000165887	ensembl	1	ENSG00000165887
WP4657	22q11.2 copy number variation syndrome	WP2436	Dopamine metabolism		wikipathways	1	WP2436
WP4905	1q21.1 copy number variation syndrome	ENSG00000226653	OR13Z1P	ENSG00000226653	ensembl	1	ENSG00000226653
WP4906	3q29 copy number variation syndrome	ENSG00000228109	MELTF-AS1	ENSG00000228109	ensembl	1	ENSG00000228109
WP4657	22q11.2 copy number variation syndrome	ENSG00000235062	BCRP5	ENSG00000235062	ensembl	1	ENSG00000235062
WP3584	MECP2 and associated Rett syndrome	MIMAT0000232	hsa-miR-199a-3p		mirbase.mature	NA	MIMAT0000232
WP5408	15q25 copy number variation	CHEBI:30013	L-threonine residue		chebi	1	CHEBI:30013
WP4932	7q11.23 copy number variation syndrome	ENSG00000161011	SQSTM1	ENSG00000161011	ensembl	1	ENSG00000161011
WP4657	22q11.2 copy number variation syndrome	ENSG00000236499	LINC00896	ENSG00000236499	ensembl	1	ENSG00000236499
WP5408	15q25 copy number variation	ENSG00000129128	SPCS3	ENSG00000129128	ensembl	1	ENSG00000129128
WP4932	7q11.23 copy number variation syndrome	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/fefce	B-WICH chromatin remodelling complex		Complex	1	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/fefce
WP5407	15q11q13 copy number variation	Q96SB8	SMC6	ENSG00000163029	uniprot	1	Q96SB8
WP5402	10q22q23 copy number variation	ENSG00000164675	IQUB	ENSG00000164675	ensembl	1	ENSG00000164675
WP3584	MECP2 and associated Rett syndrome	ENSG00000196132	EML4, MGAT4B, MYT1, PSMD11, RBMS1, SRD6A1, SYBL1	ENSG00000196132	ensembl	NA	ENSG00000196132
WP4932	7q11.23 copy number variation syndrome	ENSG00000228253	ATP8	ENSG00000228253	ensembl	1	ENSG00000228253
WP4932	7q11.23 copy number variation syndrome	ENSG00000132639	SNAP25	ENSG00000132639	ensembl	1	ENSG00000132639
WP4906	3q29 copy number variation syndrome	ENSG00000105329	TGF-B1, TGF-Beta, TGF-β, TGFB, TGFB1	ENSG00000105329	ensembl	1	ENSG00000105329
WP4657	22q11.2 copy number variation syndrome	ENSG00000273032	DGCR9	ENSG00000273032	ensembl	1	ENSG00000273032
WP4657	22q11.2 copy number variation syndrome	CHEBI:30915	2-Ketoglutaric acid, 2-Oxoglutarate, 2-oxoglutaric acid, 2OG, Oxoglutaric acid, alpha-Ketogluterate		chebi	1	CHEBI:30915
WP4905	1q21.1 copy number variation syndrome	ENSG00000131791	AMPK, PRKAB2	ENSG00000131791	ensembl	1	ENSG00000131791
WP4657	22q11.2 copy number variation syndrome	ENSG00000164690	SHH	ENSG00000164690	ensembl	1	ENSG00000164690
WP4657	22q11.2 copy number variation syndrome	ENSG00000176692	FOXC2	ENSG00000176692	ensembl	1	ENSG00000176692
WP5402	10q22q23 copy number variation	CHEBI:29985	Glu, Glutamate, Glutamic acid, L-glutamate, glutamate		chebi	1	CHEBI:29985
WP4657, WP5412	22q11.2 copy number variation syndrome, 8q11.23 (RB1CC1) copy number variation	ENSG00000141510	P53, TP53, p53	ENSG00000141510	ensembl	1	ENSG00000141510
WP4906	3q29 copy number variation syndrome	ENSG00000174004	NRROS	ENSG00000174004	ensembl	1	ENSG00000174004
WP5346	8p23.1 copy number variation syndrome	ENSG00000003987	MTMR7	ENSG00000003987	ensembl	1	ENSG00000003987
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000175224	ATG13	ENSG00000175224	ensembl	1	ENSG00000175224
WP4657	22q11.2 copy number variation syndrome	ENSG00000143365	RORC, RORgt, RORyt	ENSG00000143365	ensembl	1	ENSG00000143365
WP5346	8p23.1 copy number variation syndrome	ENSG00000154319	FAM167A	ENSG00000154319	ensembl	1	ENSG00000154319
WP4905	1q21.1 copy number variation syndrome	ENSG00000163348	PYGO2	ENSG00000163348	ensembl	1	ENSG00000163348
WP4932	7q11.23 copy number variation syndrome	ENSG00000120942	UBIAD1	ENSG00000120942	ensembl	1	ENSG00000120942
WP4875	Disruption of postsynaptic signaling by CNV	ENSG00000197283	SYNGAP1	ENSG00000197283	ensembl	NA	ENSG00000197283
WP3584	MECP2 and associated Rett syndrome	ENSG00000106462	EZH2	ENSG00000106462	ensembl	NA	ENSG00000106462
WP4932	7q11.23 copy number variation syndrome	ENSG00000159199	ATP5MC1	ENSG00000159199	ensembl	1	ENSG00000159199
WP4657	22q11.2 copy number variation syndrome	WP35	G protein  signaling  pathways, G protein signaling, G protein signaling pathways, Gi Pathway, Gi/Go Pathway, Gi/Go pathway, Gq signaling pathway, Gq/G11 Pathway, Gq/G11 pathway, Gs Pathway, Gs pathway		wikipathways	1	WP35
WP5408	15q25 copy number variation	CHEBI:61977	O-phospho-L-threonine residue		chebi	1	CHEBI:61977
WP4657	22q11.2 copy number variation syndrome	ENSG00000099899	TRMT2A	ENSG00000099899	ensembl	1	ENSG00000099899
WP4222, WP4875, WP5398	Disruption of postsynaptic signaling by CNV, NRXN1 deletion syndrome, Phosphodiesterases in neuronal function	ENSG00000105464	GRIN2D	ENSG00000105464	ensembl	1	ENSG00000105464
WP4875	Disruption of postsynaptic signaling by CNV	57502	NLGN4X	ENSG00000146938	ncbigene	NA	57502
WP4222	Phosphodiesterases in neuronal function	HMDB0001847	Caffeine, caffeine		hmdb	NA	HMDB0001847
WP5402	10q22q23 copy number variation	ENSG00000118007	STAG1	ENSG00000118007	ensembl	1	ENSG00000118007
WP408	Oxidative stress response	ENSG00000165168	CYBB, NOX2	ENSG00000165168	ensembl	NA	ENSG00000165168
WP5408	15q25 copy number variation	O14617	AP3D1	ENSG00000065000	uniprot	1	O14617
WP3584	MECP2 and associated Rett syndrome	11318905	Trofinetide		pubchem.compound	NA	11318905
WP5402	10q22q23 copy number variation	ENSG00000072501	SMC1A	ENSG00000072501	ensembl	1	ENSG00000072501
WP4657	22q11.2 copy number variation syndrome	ENSG00000276427	IGLL4P	ENSG00000276427	ensembl	1	ENSG00000276427
WP5402	10q22q23 copy number variation	ENSG00000121892	PDS5A	ENSG00000121892	ensembl	1	ENSG00000121892
WP5346	8p23.1 copy number variation syndrome	ENSG00000205882	DEFB134	ENSG00000205882	ensembl	1	ENSG00000205882
WP4906	3q29 copy number variation syndrome	ENSG00000145107	TM4SF19	ENSG00000145107	ensembl	1	ENSG00000145107
WP4657	22q11.2 copy number variation syndrome	ENSG00000184470	TXNRD2	ENSG00000184470	ensembl	1	ENSG00000184470
WP4657	22q11.2 copy number variation syndrome	ENSG00000273164	DGCR10	ENSG00000273164	ensembl	1	ENSG00000273164
WP4905	1q21.1 copy number variation syndrome	ENSG00000131778	CHD1L, CHD1L (ALC1)	ENSG00000131778	ensembl	1	ENSG00000131778
WP4932	7q11.23 copy number variation syndrome	ENSG00000175877	TMEM270	ENSG00000175877	ensembl	1	ENSG00000175877
WP4657	22q11.2 copy number variation syndrome	ENSG00000198911	SREBF2, SREBP2, nSREBP2	ENSG00000198911	ensembl	1	ENSG00000198911
WP4942	15q13.3 copy number variation syndrome	ENSG00000277467	RN7SL628P	ENSG00000277467	ensembl	1	ENSG00000277467
WP5408	15q25 copy number variation	CHEBI:16335	Adenosine		chebi	1	CHEBI:16335
WP4942, WP5407	15q11q13 copy number variation, 15q13.3 copy number variation syndrome	ENSG00000169918	OTUD7A	ENSG00000169918	ensembl	1	ENSG00000169918
WP4906	3q29 copy number variation syndrome	ENSG00000091513	TF, foetal TF	ENSG00000091513	ensembl	1	ENSG00000091513
WP4657	22q11.2 copy number variation syndrome	WP3561	tRNA modification in the  nucleus and cytosol		wikipathways	1	WP3561
WP4906, WP5346, WP5402	10q22q23 copy number variation, 3q29 copy number variation syndrome, 8p23.1 copy number variation syndrome	CHEBI:33019	6 PP, 7 PP, Diphosphate, Diphosphate(3−), diphosphate(3−), pyro- phosphate		chebi	1	CHEBI:33019
WP4657	22q11.2 copy number variation syndrome	ENSG00000241973	PI4KA	ENSG00000241973	ensembl	1	ENSG00000241973
WP4875	Disruption of postsynaptic signaling by CNV	9378	NRXN1	ENSG00000179915	ncbigene	NA	9378
WP5407	15q11q13 copy number variation	Q8IX21	SLF2	ENSG00000119906	uniprot	1	Q8IX21
WP4932	7q11.23 copy number variation syndrome	ENSG00000105953	OGDH	ENSG00000105953	ensembl	1	ENSG00000105953
WP5346	8p23.1 copy number variation syndrome	ENSG00000144381	HSPD1	ENSG00000144381	ensembl	1	ENSG00000144381
WP5402	10q22q23 copy number variation	ENSG00000099994	SUSD2	ENSG00000099994	ensembl	1	ENSG00000099994
WP408	Oxidative stress response	7498	XDH, Xantine oxidase	ENSG00000158125	ncbigene	NA	7498
WP5346	8p23.1 copy number variation syndrome	ENSG00000168487	BMP, BMP1	ENSG00000168487	ensembl	1	ENSG00000168487
WP5406	13q12.12 copy number variation	ENSG00000124788	ATXN1	ENSG00000124788	ensembl	1	ENSG00000124788
WP4657	22q11.2 copy number variation syndrome	ENSG00000242259	C22orf39	ENSG00000242259	ensembl	1	ENSG00000242259
WP5402	10q22q23 copy number variation	http://rdf.wikipathways.org/Pathway/WP5402_r129008/Complex/bad82	axonemal radial spoke complex 1 (RS1)		Complex	1	http://rdf.wikipathways.org/Pathway/WP5402_r129008/Complex/bad82
WP4657, WP5406	13q12.12 copy number variation, 22q11.2 copy number variation syndrome	ENSG00000115310	RTN4	ENSG00000115310	ensembl	1	ENSG00000115310
WP4222	Phosphodiesterases in neuronal function	ENSG00000143199	AC, ADCY10	ENSG00000143199	ensembl	NA	ENSG00000143199
WP3584	MECP2 and associated Rett syndrome	MIMAT0004568	hsa-miR-221-5p		mirbase.mature	NA	MIMAT0004568
WP4932	7q11.23 copy number variation syndrome	ENSG00000165171	METTL27	ENSG00000165171	ensembl	1	ENSG00000165171
WP5408	15q25 copy number variation	ENSG00000136404	TM6SF1	ENSG00000136404	ensembl	1	ENSG00000136404
WP4940	15q11.2 copy number variation syndrome	ENSG00000128159	TUBGCP6	ENSG00000128159	ensembl	1	ENSG00000128159
WP4222	Phosphodiesterases in neuronal function	ENSG00000154678	PDE1C	ENSG00000154678	ensembl	NA	ENSG00000154678
WP4657	22q11.2 copy number variation syndrome	ENSG00000128185	DGCR6L	ENSG00000128185	ensembl	1	ENSG00000128185
WP4932	7q11.23 copy number variation syndrome	ENSG00000037965	HOXC8	ENSG00000037965	ensembl	1	ENSG00000037965
WP4657	22q11.2 copy number variation syndrome	ENSG00000135903	PAX3	ENSG00000135903	ensembl	1	ENSG00000135903
WP5407	15q11q13 copy number variation	ENSG00000127022	CANX	ENSG00000127022	ensembl	1	ENSG00000127022
WP4932	7q11.23 copy number variation syndrome	WP3965	Fatty Acid  Synthesis, Lipid Metabolism Pathway, Lipogenesis, Lipolysis		wikipathways	1	WP3965
WP5399	NPHP1 deletion syndrome	ENSG00000196924	FLNA	ENSG00000196924	ensembl	1	ENSG00000196924
WP4657	22q11.2 copy number variation syndrome	ENSG00000203618	GP1BB	ENSG00000203618	ensembl	1	ENSG00000203618
WP5408	15q25 copy number variation	ENSG00000156218	ADAMTSL3	ENSG00000156218	ensembl	1	ENSG00000156218
WP4906	3q29 copy number variation syndrome	ENSG00000126870	DYNC2I1, WDR60	ENSG00000126870	ensembl	1	ENSG00000126870
WP5406	13q12.12 copy number variation	ENSG00000082512	TRAF5	ENSG00000082512	ensembl	1	ENSG00000082512
WP3584	MECP2 and associated Rett syndrome	ENSG00000081189	MEF2C	ENSG00000081189	ensembl	NA	ENSG00000081189
WP3584	MECP2 and associated Rett syndrome	MIMAT0004766	hsa-miR-146b-3p		mirbase.mature	NA	MIMAT0004766
WP4932	7q11.23 copy number variation syndrome	P18640	Botulinum neurotoxin type C		uniprot	1	P18640
WP5402	10q22q23 copy number variation	ENSG00000116670	MAD2L2	ENSG00000116670	ensembl	1	ENSG00000116670
WP4942, WP5407	15q11q13 copy number variation, 15q13.3 copy number variation syndrome	ENSG00000198690	FAN1	ENSG00000198690	ensembl	1	ENSG00000198690
WP4932	7q11.23 copy number variation syndrome	ENSG00000166147	FBN1	ENSG00000166147	ensembl	1	ENSG00000166147
WP5346	8p23.1 copy number variation syndrome	WP4725	Sphingolipid  metabolism, Sphingolipid metabolism, Sphingolipid metabolism overview (Homo sapiens)		wikipathways	1	WP4725
WP4657	22q11.2 copy number variation syndrome	WP272	Blood Clotting  Cascade, Blood clotting  cascade, Blood clotting cascade		wikipathways	1	WP272
WP5398	NRXN1 deletion syndrome	ENSG00000132535	DLG4, PSD95	ENSG00000132535	ensembl	1	ENSG00000132535
WP5405	13q12 or CRYL1 copy number variation	CHEBI:16908	NADH		chebi	1	CHEBI:16908
WP5402	10q22q23 copy number variation	ENSG00000145491	ROPN1L	ENSG00000145491	ensembl	1	ENSG00000145491
WP5398	NRXN1 deletion syndrome	ENSG00000146938	NLGN4X	ENSG00000146938	ensembl	1	ENSG00000146938
WP5406	13q12.12 copy number variation	ENSG00000163069	SGCB	ENSG00000163069	ensembl	1	ENSG00000163069
WP5346	8p23.1 copy number variation syndrome	ENSG00000143226	FCGR2A	ENSG00000143226	ensembl	1	ENSG00000143226
WP4222	Phosphodiesterases in neuronal function	ENSG00000131771	DARPP-32, PPP1R1B	ENSG00000131771	ensembl	NA	ENSG00000131771
WP4906	3q29 copy number variation syndrome	http://rdf.wikipathways.org/Pathway/WP4906_r129011/Complex/db541	Nuclear cap-binding complex		Complex	1	http://rdf.wikipathways.org/Pathway/WP4906_r129011/Complex/db541
WP3584	MECP2 and associated Rett syndrome	ENSG00000169258	GPRIN1	ENSG00000169258	ensembl	NA	ENSG00000169258
WP3584	MECP2 and associated Rett syndrome	MIMAT0000690	hsa-miR-296-5p		mirbase.mature	NA	MIMAT0000690
WP4932	7q11.23 copy number variation syndrome	Q9BQG0	MYBBP1A	ENSG00000132382	uniprot	1	Q9BQG0
WP5346	8p23.1 copy number variation syndrome	CHEBI:15440	SQNE, Squalene, squalene		chebi	1	CHEBI:15440
WP4932, WP5412	7q11.23 copy number variation syndrome, 8q11.23 (RB1CC1) copy number variation	ENSG00000139687	RB1, Rb, pRB	ENSG00000139687	ensembl	1	ENSG00000139687
WP5402	10q22q23 copy number variation	ENSG00000143368	SF3B4	ENSG00000143368	ensembl	1	ENSG00000143368
WP4906	3q29 copy number variation syndrome	ENSG00000225770	RPS29P3	ENSG00000225770	ensembl	1	ENSG00000225770
WP4932	7q11.23 copy number variation syndrome	ENSG00000152234	ATP5A1	ENSG00000152234	ensembl	1	ENSG00000152234
WP4932	7q11.23 copy number variation syndrome	ENSG00000129757	CDKN1C	ENSG00000129757	ensembl	1	ENSG00000129757
WP4657	22q11.2 copy number variation syndrome	ENSG00000063515	GSC2	ENSG00000063515	ensembl	1	ENSG00000063515
WP4657	22q11.2 copy number variation syndrome	ENSG00000099940	SNAP29	ENSG00000099940	ensembl	1	ENSG00000099940
WP4222, WP4875, WP5398	Disruption of postsynaptic signaling by CNV, NRXN1 deletion syndrome, Phosphodiesterases in neuronal function	ENSG00000183454	GRIN2A	ENSG00000183454	ensembl	1	ENSG00000183454
WP4657	22q11.2 copy number variation syndrome	ENSG00000242876	RN7SL812P	ENSG00000242876	ensembl	1	ENSG00000242876
WP4657	22q11.2 copy number variation syndrome	ENSG00000185245	GP1BA	ENSG00000185245	ensembl	1	ENSG00000185245
WP4932	7q11.23 copy number variation syndrome	ENSG00000111445	RFC5	ENSG00000111445	ensembl	1	ENSG00000111445
WP5408	15q25 copy number variation	ENSG00000135439	AGAP2	ENSG00000135439	ensembl	1	ENSG00000135439
WP4657	22q11.2 copy number variation syndrome	ENSG00000099889	ARVCF	ENSG00000099889	ensembl	1	ENSG00000099889
WP4932	7q11.23 copy number variation syndrome	ENSG00000106077	ABHD11	ENSG00000106077	ensembl	1	ENSG00000106077
WP4657	22q11.2 copy number variation syndrome	CHEBI:545959	HVA, Homovanillic acid		chebi	1	CHEBI:545959
WP4657	22q11.2 copy number variation syndrome	CHEBI:15422	ATP		chebi	1	CHEBI:15422
WP4906, WP5346	3q29 copy number variation syndrome, 8p23.1 copy number variation syndrome	ENSG00000187778	MCRS1	ENSG00000187778	ensembl	1	ENSG00000187778
WP408	Oxidative stress response	7296	TRXR 1, TRXR1, TXNRD1	ENSG00000198431	ncbigene	NA	7296
WP4932	7q11.23 copy number variation syndrome	ENSG00000026103	FAS	ENSG00000026103	ensembl	1	ENSG00000026103
WP4906	3q29 copy number variation syndrome	ENSG00000088986	DYNLL1	ENSG00000088986	ensembl	1	ENSG00000088986
WP4932	7q11.23 copy number variation syndrome	ENSG00000137309	HMGA1	ENSG00000137309	ensembl	1	ENSG00000137309
WP3584	MECP2 and associated Rett syndrome	ENSG00000167244	IGF2	ENSG00000167244	ensembl	NA	ENSG00000167244
WP3584	MECP2 and associated Rett syndrome	ENSG00000089280	FUS	ENSG00000089280	ensembl	NA	ENSG00000089280
WP4940	15q11.2 copy number variation syndrome	ENSG00000130640	TUBGCP2	ENSG00000130640	ensembl	1	ENSG00000130640
WP4657	22q11.2 copy number variation syndrome	ENSG00000111875	ASF1A	ENSG00000111875	ensembl	1	ENSG00000111875
WP5346	8p23.1 copy number variation syndrome	ENSG00000173281	PPP1R3B	ENSG00000173281	ensembl	1	ENSG00000173281
WP4657	22q11.2 copy number variation syndrome	ENSG00000181222	POLR2A	ENSG00000181222	ensembl	1	ENSG00000181222
WP4875	Disruption of postsynaptic signaling by CNV	ENSG00000058404	CAMK2B, CaMK2B	ENSG00000058404	ensembl	NA	ENSG00000058404
WP4905	1q21.1 copy number variation syndrome	ENSG00000272443	OR13Z2P	ENSG00000272443	ensembl	1	ENSG00000272443
WP5407	15q11q13 copy number variation	HMDB0000895	ACh, Acetylcholine		hmdb	1	HMDB0000895
WP4657	22q11.2 copy number variation syndrome	ENSG00000077782	FGFR1, FGFR1c	ENSG00000077782	ensembl	1	ENSG00000077782
WP4932	7q11.23 copy number variation syndrome	ENSG00000140092	FBLN5	ENSG00000140092	ensembl	1	ENSG00000140092
WP4657	22q11.2 copy number variation syndrome	WP1870	Neurotransmitter clearance		wikipathways	1	WP1870
WP5402	10q22q23 copy number variation	http://rdf.wikipathways.org/Pathway/WP5402_r129008/Complex/af585	Nuclear mitotic cohesin complex		Complex	1	http://rdf.wikipathways.org/Pathway/WP5402_r129008/Complex/af585
WP3584	MECP2 and associated Rett syndrome	MIMAT0000278	hsa-miR-221-3p		mirbase.mature	NA	MIMAT0000278
WP5408	15q25 copy number variation	ENSG00000140612	SEC11A	ENSG00000140612	ensembl	1	ENSG00000140612
WP3584	MECP2 and associated Rett syndrome	ENSG00000186895	FGF3	ENSG00000186895	ensembl	NA	ENSG00000186895
WP3584	MECP2 and associated Rett syndrome	MIMAT0000092	hsa-miR-92a-3p		mirbase.mature	NA	MIMAT0000092
WP4942, WP5407	15q11q13 copy number variation, 15q13.3 copy number variation syndrome	ENSG00000134160	TRPM1	ENSG00000134160	ensembl	1	ENSG00000134160
WP5399	NPHP1 deletion syndrome	ENSG00000144061	NPHP1	ENSG00000144061	ensembl	1	ENSG00000144061
WP5346	8p23.1 copy number variation syndrome	ENSG00000197747	S100A10	ENSG00000197747	ensembl	1	ENSG00000197747
WP4222	Phosphodiesterases in neuronal function	HMDB0001397	GMP, Guanosine monophosphate		hmdb	NA	HMDB0001397
WP4906	3q29 copy number variation syndrome	ENSG00000079974	RABL2B	ENSG00000079974	ensembl	1	ENSG00000079974
WP5402	10q22q23 copy number variation	ENSG00000204033	LRIT2	ENSG00000204033	ensembl	1	ENSG00000204033
WP4222	Phosphodiesterases in neuronal function	ENSG00000123360	PDE1B	ENSG00000123360	ensembl	NA	ENSG00000123360
WP3584	MECP2 and associated Rett syndrome	ENSG00000157005	SST	ENSG00000157005	ensembl	NA	ENSG00000157005
WP4222	Phosphodiesterases in neuronal function	ENSG00000113448	PDE4D	ENSG00000113448	ensembl	NA	ENSG00000113448
WP5346	8p23.1 copy number variation syndrome	WP400	RAS-MAPK  pathway, p38 MAPK, p38 MAPK  signaling, p38 MAPK pathway, p38 MAPK signaling pathway, p38/MAPK  pathway		wikipathways	1	WP400
WP4657	22q11.2 copy number variation syndrome	ENSG00000100075	SLC25A1	ENSG00000100075	ensembl	1	ENSG00000100075
WP4657	22q11.2 copy number variation syndrome	ENSG00000233471	KRT18P62	ENSG00000233471	ensembl	1	ENSG00000233471
WP4906	3q29 copy number variation syndrome	ENSG00000138449	SLC40A1	ENSG00000138449	ensembl	1	ENSG00000138449
