Ensembl	KEid	KEtitle	AOid	AOtitle	AOPid	AOPtitle
ENSG00000105641	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/279; https://identifiers.org/aop.events/424; https://identifiers.org/aop.events/277	Decrease of Thyroidal iodide; Thyroperoxidase, Inhibition; Inhibition, Na+/I- symporter (NIS); Thyroid hormone synthesis, Decreased	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402	Cognitive Function, Decreased ; Impairment, Learning and memory; Cognitive Function, Decreased ; Increase, seizure; Cognitive Function, Decreased ; Impairment, Learning and memory; Cognitive Function, Decreased ; Impairment, Learning and memory; Increase, seizure	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000106546	https://identifiers.org/aop.events/18	Activation, AhR	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/458; https://identifiers.org/aop/459	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000107201	https://identifiers.org/aop.events/1825	Increase, Cell death	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000107518	https://identifiers.org/aop.events/889	Impaired, Proteostasis	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
ENSG00000107643	https://identifiers.org/aop.events/1513	General Apoptosis	https://identifiers.org/aop.events/1514	Neurodegeneration	https://identifiers.org/aop/260	CYP2E1 activation and formation of protein adducts leading to neurodegeneration
ENSG00000108091	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1502; https://identifiers.org/aop.events/1503	Apoptosis; Histone deacetylase inhibition; Histone acetylation, increase	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1561; https://identifiers.org/aop.events/1561	Impairment, Learning and memory; Neural tube defects; Neural tube defects	https://identifiers.org/aop/500; https://identifiers.org/aop/275; https://identifiers.org/aop/449; https://identifiers.org/aop/275	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Ceramide synthase inhibition leading to neural tube defects ; Histone deacetylase inhibition leads to neural tube defects; Histone deacetylase inhibition leads to neural tube defects
ENSG00000108578	https://identifiers.org/aop.events/889	Impaired, Proteostasis	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
ENSG00000108691	https://identifiers.org/aop.events/1492; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/2097	Tissue resident cell activation; Increased Pro-inflammatory mediators; Increase, Pro-Inflammatory Mediators	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341	Impairment, Learning and memory; Impairment, Learning and memory; Impairment, Learning and memory	https://identifiers.org/aop/17; https://identifiers.org/aop/483; https://identifiers.org/aop/17; https://identifiers.org/aop/483	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000108823	https://identifiers.org/aop.events/1392	Oxidative Stress 	https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896	Impairment, Learning and memory; Memory Loss; Parkinsonian motor deficits	https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000109320	https://identifiers.org/aop.events/1262; https://identifiers.org/aop.events/1869	Apoptosis; Diminished protective oxidative stress response	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402	Impairment, Learning and memory; Cognitive Function, Decreased	https://identifiers.org/aop/500; https://identifiers.org/aop/488	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis; Increased reactive oxygen species production leading to decreased cognitive function
ENSG00000109471	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000110436	https://identifiers.org/aop.events/1488	Glutamate dyshomeostasis	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000110711	https://identifiers.org/aop.events/18	Activation, AhR	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/458; https://identifiers.org/aop/459	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000110801	https://identifiers.org/aop.events/18	Activation, AhR	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/458; https://identifiers.org/aop/459	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000110911	https://identifiers.org/aop.events/1968	Increase, Mitochondrial Dysfunction	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/500	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis
ENSG00000110958	https://identifiers.org/aop.events/18	Activation, AhR	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/458; https://identifiers.org/aop/459	AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000111700	https://identifiers.org/aop.events/960	Increased, Uptake of thyroxine into tissue	https://identifiers.org/aop.events/402	Cognitive Function, Decreased	https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000111846	https://identifiers.org/aop.events/177; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/1392; https://identifiers.org/aop.events/888; https://identifiers.org/aop.events/383; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1502; https://identifiers.org/aop.events/18; https://identifiers.org/aop.events/1738	N/A, Mitochondrial dysfunction 1; Displacement, Serum thyroxine (T4) from transthyretin; Oxidative Stress ; Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I); Reduced, Presynaptic release of glutamate; Increased, Uptake of thyroxine into tissue; Increased Pro-inflammatory mediators; Histone deacetylase inhibition; Activation, AhR; SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1561; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1875	Impairment, Learning and memory; Parkinsonian motor deficits; Cognitive Function, Decreased; Impairment, Learning and memory; Memory Loss; Parkinsonian motor deficits; Parkinsonian motor deficits; Impairment, Learning and memory; Cognitive Function, Decreased; Impairment, Learning and memory; Neural tube defects; Cognitive Function, Decreased; Cerebrovascular disease (stroke)	https://identifiers.org/aop/3; https://identifiers.org/aop/48; https://identifiers.org/aop/152; https://identifiers.org/aop/17; https://identifiers.org/aop/429; https://identifiers.org/aop/464; https://identifiers.org/aop/483; https://identifiers.org/aop/3; https://identifiers.org/aop/13; https://identifiers.org/aop/152; https://identifiers.org/aop/17; https://identifiers.org/aop/275; https://identifiers.org/aop/449; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/395	Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits; Deposition of Energy Leading to Learning and Memory Impairment; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Ceramide synthase inhibition leading to neural tube defects ; Histone deacetylase inhibition leads to neural tube defects; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000112115	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000112394	https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961	Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000112715	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/1738	Increased Pro-inflammatory mediators; SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1875	Impairment, Learning and memory; Cerebrovascular disease (stroke)	https://identifiers.org/aop/17; https://identifiers.org/aop/395	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000113263	https://identifiers.org/aop.events/1493	Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000113520	https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492; https://identifiers.org/aop.events/1493	Neuroinflammation; Tissue resident cell activation; Increased Pro-inflammatory mediators	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341	Encephalitis; Impairment, Learning and memory; Increase, seizure; Increased, epilepsy; Memory Loss; N/A, Neurodegeneration; Parkinsonian motor deficits; decreased, Intellectual Quotient; Impairment, Learning and memory; Impairment, Learning and memory	https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483; https://identifiers.org/aop/17	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Various neuronal effects induced by elavl3, sox10, and mbp; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
ENSG00000113580	https://identifiers.org/aop.events/1538; https://identifiers.org/aop.events/122	Decreased protection against oxidative stress; Activation, Glucocorticoid Receptor	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/1344; https://identifiers.org/aop.events/1345; https://identifiers.org/aop.events/1346	Impairment, Learning and memory; Increased, agitation; Increased, depression; Increased, seizure	https://identifiers.org/aop/17; https://identifiers.org/aop/214	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Network of SSRIs (selective serotonin reuptake inhibitors)
ENSG00000114013	https://identifiers.org/aop.events/188; https://identifiers.org/aop.events/1492	Neuroinflammation; Tissue resident cell activation	https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/1363; https://identifiers.org/aop.events/1841; https://identifiers.org/aop.events/1941; https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352; https://identifiers.org/aop.events/896; https://identifiers.org/aop.events/341	Encephalitis; Impairment, Learning and memory; Increase, seizure; Increased, epilepsy; Memory Loss; N/A, Neurodegeneration; Parkinsonian motor deficits; decreased, Intellectual Quotient; Impairment, Learning and memory	https://identifiers.org/aop/12; https://identifiers.org/aop/17; https://identifiers.org/aop/3; https://identifiers.org/aop/374; https://identifiers.org/aop/429; https://identifiers.org/aop/471; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483	A cholesterol/glucose dysmetabolism initiated Tau-driven AOP toward memory loss (AO) in sporadic Alzheimer's Disease with plausible MIE's plug-ins for environmental neurotoxicants; Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on brain cells (neuronal and non-neuronal) leads to neuroinflammation resulting in encephalitis; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms; Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits; Various neuronal effects induced by elavl3, sox10, and mbp; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000115020	https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/1875	Cerebrovascular disease (stroke)	https://identifiers.org/aop/395	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000115386	https://identifiers.org/aop.events/682	Generation, Amplified excitatory postsynaptic potential (EPSP)	https://identifiers.org/aop.events/613	Occurrence, Epileptic seizure	https://identifiers.org/aop/10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain
ENSG00000115419	https://identifiers.org/aop.events/1488; https://identifiers.org/aop.events/383	Glutamate dyshomeostasis; Reduced, Presynaptic release of glutamate	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341	Impairment, Learning and memory; Impairment, Learning and memory	https://identifiers.org/aop/17; https://identifiers.org/aop/13	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
ENSG00000115705	https://identifiers.org/aop.events/425; https://identifiers.org/aop.events/279; https://identifiers.org/aop.events/277; https://identifiers.org/aop.events/281	Decrease of Thyroidal iodide; Thyroperoxidase, Inhibition; Thyroid hormone synthesis, Decreased;  Thyroxine (T4) in serum, Decreased	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/1348; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/402	Cognitive Function, Decreased ; Impairment, Learning and memory; Cognitive Function, Decreased ; Increase, seizure; Cognitive Function, Decreased ; Impairment, Learning and memory; Increase, seizure; Cognitive Function, Decreased ; Impairment, Learning and memory	https://identifiers.org/aop/134; https://identifiers.org/aop/54; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/134; https://identifiers.org/aop/402; https://identifiers.org/aop/42; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65; https://identifiers.org/aop/134; https://identifiers.org/aop/152; https://identifiers.org/aop/42; https://identifiers.org/aop/458; https://identifiers.org/aop/459; https://identifiers.org/aop/54; https://identifiers.org/aop/65	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ; Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity ; Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals; XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals
ENSG00000116478	https://identifiers.org/aop.events/1262	Apoptosis	https://identifiers.org/aop.events/341	Impairment, Learning and memory	https://identifiers.org/aop/500	Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis
ENSG00000116679	https://identifiers.org/aop.events/888	Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits
ENSG00000117560	https://identifiers.org/aop.events/55; https://identifiers.org/aop.events/1492	Cell injury/death; Tissue resident cell activation	https://identifiers.org/aop.events/2121; https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/352; https://identifiers.org/aop.events/341	Impairment, Learning and memory; N/A, Neurodegeneration; decreased, Intellectual Quotient; Impairment, Learning and memory	https://identifiers.org/aop/12; https://identifiers.org/aop/13; https://identifiers.org/aop/17; https://identifiers.org/aop/281; https://identifiers.org/aop/48; https://identifiers.org/aop/490; https://identifiers.org/aop/17; https://identifiers.org/aop/483	Acetylcholinesterase Inhibition Leading to Neurodegeneration; Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities; Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging; Co-activation of IP3R and RyR leads to economic burden through reduced IQ and non-cholinergic mechanisms; Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000117595	https://identifiers.org/aop.events/1493; https://identifiers.org/aop.events/2097	Increased Pro-inflammatory mediators; Increase, Pro-Inflammatory Mediators	https://identifiers.org/aop.events/341; https://identifiers.org/aop.events/341	Impairment, Learning and memory; Impairment, Learning and memory	https://identifiers.org/aop/17; https://identifiers.org/aop/483	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory; Deposition of Energy Leading to Learning and Memory Impairment
ENSG00000118217	https://identifiers.org/aop.events/1512	Unfolded Protein Response	https://identifiers.org/aop.events/1514; https://identifiers.org/aop.events/896	Neurodegeneration; Parkinsonian motor deficits	https://identifiers.org/aop/260; https://identifiers.org/aop/464	CYP2E1 activation and formation of protein adducts leading to neurodegeneration; Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
ENSG00000118257	https://identifiers.org/aop.events/1738	SARS-CoV-2 cell entry 	https://identifiers.org/aop.events/1875	Cerebrovascular disease (stroke)	https://identifiers.org/aop/395	Binding of Sars-CoV-2 spike protein to ACE 2 receptors expressed on pericytes leads to disseminated intravascular coagulation resulting in cerebrovascular disease (stroke)
ENSG00000118271	https://identifiers.org/aop.events/959; https://identifiers.org/aop.events/958; https://identifiers.org/aop.events/960; https://identifiers.org/aop.events/961; https://identifiers.org/aop.events/957	Increased, Free serum thyroxine (T4); Displacement, Serum thyroxine (T4) from transthyretin; Increased, Uptake of thyroxine into tissue; Increased, Clearance of thyroxine from serum; Binding, Transthyretin in serum	https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402; https://identifiers.org/aop.events/402	Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased; Cognitive Function, Decreased	https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/152; https://identifiers.org/aop/458; https://identifiers.org/aop/152	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity; Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity
ENSG00000120889	https://identifiers.org/aop.events/1825	Increase, Cell death	https://identifiers.org/aop.events/896	Parkinsonian motor deficits	https://identifiers.org/aop/464	Calcium overload in dopaminergic neurons of the substantia nigra leading to parkinsonian motor deficits
